Title,Authors,Year,Source/Venue,URL,Brief Description/Keywords,Source_File,Domain_Category,Access_Type
[PDF] Building and Using a Knowledge Graph to Combat Human Trafficking,,2015,Other,https://usc-isi-i2.github.io/papers/szekely15-iswc.pdf,"Building and Using a Knowledge Graph to Combat Human Trafficking Pedro Szekely1, Craig A. Knoblock1, Jason Slepicka1, Andrew Philpot1, Amandeep Singh1, Chengye Yin1, Dipsy Kapoor1, Prem Natarajan1, Da...",Data Integration Challenges,Other (usc-isi-i2.github.io),manual
Data Integration for Heterogenous Datasets,HendlerJames,2014,Other,https://www.liebertpub.com/doi/full/10.1089/big.2014.0068,Abstract Introduction Integrating Structured Data Adding Natural Language Conclusions Acknowledgments Footnotes Disclaimer References Information &amp; Authors Metrics &amp; Citations View Options Ref...,Data Integration Challenges,Other (liebertpub.com),manual
[PDF] Are Knowledge Graphs Ready for the Real World? Challenges and ...,"David Chaves-Fraga, Oscar Corcho, Anastasia Dimou, and Maria-Esther Vidal",2024,Other,https://drops.dagstuhl.de/storage/04dagstuhl-reports/volume14/issue02/24061/DagRep.14.2.1/DagRep.14.2.1.pdf,"Report from Dagstuhl Seminar 24061 Are Knowledge Graphs Ready for the Real World? Challenges and Perspective David Chaves-Fraga∗1, Oscar Corcho∗2, Anastasia Dimou∗3, Maria-Esther Vidal∗4, Ana Iglesias...",Data Integration Challenges,Other (drops.dagstuhl.de),manual
,,2021,Other,http://www.uel.br/revistas/uel/index.php/semexatas/article/download/42922/29843,REVIEW ARTICLE DOI: 10.5433/1679-0375.2021v42n1p113 Review and comparison of works on heterogeneous data and semantic analysis in Big Data Revisão e comparação de trabalhos sobre dados heterogêneos e ...,Data Integration Challenges,Other (uel.br),manual
Time-Aware Personal Knowledge Graphs: Integrating Lifespan ...,Volodymyr Pavlyshyn,2024,Other,https://volodymyrpavlyshyn.medium.com/time-aware-personal-knowledge-graphs-integrating-lifespan-events-for-ai-memory-9a3d55603e32,"As artificial intelligence continues to evolve, there’s increasing interest in how machines can emulate human memory, particularly the way we recall and process events over time. Lets explores the int...",Data Integration Challenges,Blog/Social,manual
Personal Knowledge Graphs in AI RAG-powered Applications with ...,Volodymyr Pavlyshyn,2024,Other,https://turso.tech/blog/personal-knowledge-graphs-in-ai-rag-powered-applications-with-libsql,"[Kin](https://mykin.ai) is a personal AI that helps you navigate your work-life, available on both iOS and Android. Our app is local-first and focused on the users' sovereign data ownership. A key cha...",Data Integration Challenges,Other (turso.tech),manual
Solving problems of research information heterogeneity during integration – using the European CERIF and German RCD standards as examples,,2019,Other,https://content.iospress.com/articles/information-services-and-use/isu180030,You are viewing a javascript disabled version of the site. Please enable Javascript for this site to function properly. [Go to header](https://content.iospress.com/articles/information-services-and-us...,Data Integration Challenges,Other (content.iospress.com),manual
Leveraging Knowledge Graphs for Big Data Integration: the XI Pipeline,,2020,Other,https://content.iospress.com/articles/semantic-web/sw190371,You are viewing a javascript disabled version of the site. Please enable Javascript for this site to function properly. [Go to header](https://content.iospress.com/articles/semantic-web/sw190371#heade...,Data Integration Challenges,Other (content.iospress.com),manual
Big heterogeneous data integration and analysis,"Stella  Vetova, Technical University of Sofia, bl. 2, 2216, Bulgaria, vetova.bas@gmail.com",2021,Other,https://pubs.aip.org/aip/acp/article/1027731,"The paper below presents an overview of big data integration techniques, methods and approaches. The report describes the data integration architecture and its components. Also, an overview of five bi...",Data Integration Challenges,Other (pubs.aip.org),manual
Knowledge Graphs - breaking down data integration barriers for ...,Euretos News,2024,Other,https://www.euretos.com/blog/knowledge-graphs-breaking-down-data-integration-barriers-for-heterogeneous-data,# Knowledge Graphs - breaking down data integration barriers for heterogeneous data Here's another interesting [Euretos Perspective](https://www.linkedin.com/pulse/knowledge-graphs-breaking-down-data-...,Data Integration Challenges,Other (euretos.com),manual
The Knowledge Graph Advantage: How Smart Companies ... - Medium,"Adnan Masood, PhD.",2025,Other,https://medium.com/@adnanmasood/the-knowledge-graph-advantage-how-smart-companies-are-using-knowledge-graphs-to-power-ai-and-drive-59f285602683,"## An In-depth Analysis of Knowledge Representation, Reasoning Mechanisms, Algorithmic Advancements, Industry Use Cases, and Emerging Research Directions in Knowledge Graph Technology for Enhanced AI ...",Data Integration Challenges,Blog/Social,manual
Lehre - TIB.eu,,2024,Other,https://www.tib.eu/de/forschung-entwicklung/forschungsgruppen-und-labs/scientific-data-management/lehre,Suche Durchsuchen Sie den Webauftritt der TIB oder suchen Sie im TIB-Portal nach Fachliteratur und -information. PreferenceSeitensucheTIB-Portal Suche nach Fachliteratur und –information ![](https://w...,Data Integration Challenges,Other (tib.eu),manual
Unlock Enterprise Data with Knowledge Graph - Altair,,2024,Other,https://altair.com/knowledge-graphs,"Knowledge Graphs and Enterprise Data Integration Knowledge graphs are interconnected networks of data points that accurately model and represent data, down to individual values, and can incorporate tr...",Data Integration Challenges,Other (altair.com),manual
Oxford Semantic Technologies Knowledge Graph & AI | RDFox,Engineering DirectorDow Jones,,Other,https://www.oxfordsemantic.tech/,##### Product ##### Solutions ##### Resources ##### Company ## Transform data and knowledge into fast and accurate answers to complex questions. #### Knowledge-based artificial intelligence powered by...,Data Integration Challenges,Other (oxfordsemantic.tech),manual
Exploring Knowledge Graphs and Data Mining: A Quick ... - SmythOS,Alaa-eddine Kaddouri,2025,Other,https://smythos.com/developers/agent-development/knowledge-graphs-and-data-mining/,"Knowledge graphs are changing how we understand and process information with artificial intelligence. Like a vast digital map of interconnected facts and relationships, knowledge graphs help machines ...",Data Integration Challenges,Other (smythos.com),manual
A literature review of current technologies on health data integration for patient-centered health management,"Cong Peng, Prashant Goswami, and Guohua Bai",2019,Other,https://bth.diva-portal.org/smash/get/diva2:1382796/FULLTEXT01,https://doi.org/10.1177/1460458219892387 Health Informatics Journal 1–26 © The Author(s) 2019 Article reuse guidelines: sagepub.com/journals-permissions DOI: 10.1177/1460458219892387 journals.sagepub....,Data Integration Challenges,Other (bth.diva-portal.org),manual
[PDF] Data Management Opportunities in Unifying Large Language ...,"Arijit Khan, Tianxing Wu, and Xi Chen",,Other,https://vldb.org/workshops/2024/proceedings/LLM+KG/LLM+KG-1.pdf,Data Management Opportunities in Unifying Large Language Models+Knowledge Graphs Arijit Khan Aalborg University Denmark arijitk@cs.aau.dk Tianxing Wu Southeast University China tianxingwu@seu.edu.cn X...,Data Integration Challenges,Other (vldb.org),manual
[PDF] LLM Assisted Synthetic Multi-Modal Knowledge Graph Creation For ...,"Sukanya Mandal, Noel E. O'Connor",,Other,https://ojs.aaai.org/index.php/AAAI-SS/article/download/31795/33962/35864,"LLMasMMKG: LLM Assisted Synthetic Multi-Modal Knowledge Graph Creation For Smart City Cognitive Digital Twins Sukanya Mandal1, Noel E. O’Connor2 1SFI Centre for Research Training in Machine Learning (...",Data Integration Challenges,Other (ojs.aaai.org),manual
Agentic AI Research Team - 人工知能研究センター,,2025,Other,https://www.airc.aist.go.jp/en/dkirt/,[Top Page](https://www.airc.aist.go.jp/en/) [RESEARCH TEAMS](https://www.airc.aist.go.jp/en/teams/)Data-knolwedge Integration Research Team Research Teams - [Team Outline](https://www.airc.aist.go.jp/...,Data Integration Challenges,Other (airc.aist.go.jp),manual
Knowledge Graphs: The AI Engine Powering Modern Business ...,"Joseph D. StecJuly 31, 2024",2024,Other,https://www.strategysoftware.com/blog/knowledge-graphs-the-ai-engine-powering-modern-business-intelligence,Ever wonder how Netflix suggests your next binge-worthy show—or how LinkedIn recommends new connections? Maybe you've thought about how investigators untangle complex financial fraud? The answer lies ...,Data Integration Challenges,Other (strategysoftware.com),manual
Personal Knowledge Graphs: A Research Agenda,Krisztian Balog and Tom Kenter,2019,Other,https://krisztianbalog.com/files/ictir2019-pkg.pdf,"Personal Knowledge Graphs: A Research Agenda Krisztian Balog Google London, UK krisztianb@google.com Tom Kenter Google London, UK tomkenter@google.com ABSTRACT Knowledge graphs, organizing structured ...",Design Patterns,Other (krisztianbalog.com),manual
Deriving Design Knowledge Graph for Complex Sociotechnical Systems Using the AIA Design Thinking,"Tao Shen,Chan Gao,Yukari Nagai,Wei Ou",2021,Other,https://downloads.hindawi.com/journals/misy/2021/6416061.pdf,Tao Shen College of Design and Innovation Tongji University ShanghaiChina Chan Gao Architecture Department Huzhou University HuzhouZhejiangChina Knowledge Science Japan Advanced Institute of Science a...,Design Patterns,Other (downloads.hindawi.com),manual
Digital Twins and Knowledge Graphs,EK Team,2022,Other,https://enterprise-knowledge.com/digital-twins-and-knowledge-graphs/,Enterprise knowledge graphs are one of the **[fastest growing trends in knowledge management](https://enterprise-knowledge.com/knowledge-management-trends-in-2022/)****.** Their intuitive and flexible...,Design Patterns,Other (enterprise-knowledge.com),manual
"Gifts, Contexts, Means, and Ends Differing: Informing Task Scenarios to Serve Knowledge Workers’ Needs in Dynamic Complex Settings","Ulrich Schmitt, T. Grandon Gill",2020,Other,https://inform.nu/Articles/Vol23/ISJv23p119-145Schmitt6471.pdf,"Volume 23, 2020 Accepting Editor Robert W. Hammond │Received: June 3, 2020│Revised: September 6, November 11, 2020│ Accepted: November 14, 2020. Cite as: Schmitt, U., & Gill, T. G. (2020). Gifts, cont...",Design Patterns,Other (inform.nu),manual
Pattern-based design applied to cultural heritage knowledge graphs,,2021,Other,https://content.iospress.com/articles/semantic-web/sw200422,You are viewing a javascript disabled version of the site. Please enable Javascript for this site to function properly. [Go to header](https://content.iospress.com/articles/semantic-web/sw200422#heade...,Design Patterns,Other (content.iospress.com),manual
ICLR 2025 Papers,,2025,Other,https://iclr.cc/virtual/2025/papers.html,- [Browse](http://iclr.cc/iclr.cc#tab-browse) - [Visualization](https://iclr2025.vizhub.ai/) Layout:,Architecture Gaps,Other (iclr.cc),manual
AI-CTO: Knowledge graph for automated and dependable software stack solution,,2021,Other,https://content.iospress.com/articles/journal-of-intelligent-and-fuzzy-systems/ifs200899,You are viewing a javascript disabled version of the site. Please enable Javascript for this site to function properly. [Go to header](https://content.iospress.com/articles/journal-of-intelligent-and-...,Architecture Gaps,Other (content.iospress.com),manual
Graph‐based Assessment and Analysis of System Architecture Models,"Leonard  Petnga, University of Alabama in Huntsville Huntsville, 35899, AL, leonard.petnga@uah.edu",1451,Other,https://incose.onlinelibrary.wiley.com/doi/10.1002/j.2334-5837.2019.00644.x,Graph‐based Assessment and Analysis of System Architecture Models - Petnga - 2019 - INCOSE International Symposium - Wiley Online Library Opens in a new windowOpens an external websiteOpens an externa...,Architecture Gaps,Other (incose.onlinelibrary.wiley.com),manual
